day,Diversifying3,Focusing1,Diversifying2,Focusing2,Diversifying1,Focusing3,total
0,4,4,4,4,4,4,24
1,4,4,4,4,4,4,24
2,4,4,4,4,4,4,24
3,4,4,4,4,4,4,24
4,4,4,4,4,4,4,24
5,4,4,4,4,4,5,25
6,4,4,4,4,4,5,25
7,4,4,4,4,4,5,25
8,4,4,4,4,4,5,25
9,4,4,4,4,4,5,25
10,4,4,4,4,4,5,25
11,4,4,4,4,4,5,25
12,4,4,4,4,4,5,25
13,4,4,4,4,4,5,25
14,4,4,4,4,4,5,25
15,4,4,4,4,4,5,25
16,4,4,4,4,4,5,25
17,4,4,4,4,4,5,25
18,4,4,4,4,4,5,25
19,4,4,4,4,4,5,25
20,4,4,5,4,4,5,26
21,4,4,5,4,4,5,26
22,4,4,5,4,4,5,26
23,4,4,5,4,4,5,26
24,4,4,5,4,4,5,26
25,4,4,5,4,4,5,26
26,4,4,5,4,4,5,26
27,4,4,5,4,4,5,26
28,4,4,5,4,4,5,26
29,4,4,5,4,4,5,26
30,4,4,5,4,4,5,26
31,4,4,5,4,4,5,26
32,4,4,5,4,4,5,26
33,4,4,5,4,4,5,26
34,4,4,5,4,4,5,26
35,4,4,5,4,4,5,26
36,4,4,5,4,4,5,26
37,4,4,5,4,4,5,26
38,4,4,5,4,4,5,26
39,4,4,5,4,4,5,26
40,4,4,5,4,4,5,26
41,4,4,5,4,4,5,26
42,4,4,5,4,4,5,26
43,4,4,5,4,4,5,26
44,4,4,5,4,4,5,26
45,4,4,5,4,4,5,26
46,4,4,5,4,4,5,26
47,4,4,5,4,4,5,26
48,4,4,5,4,4,5,26
49,4,4,5,4,4,5,26
50,4,4,5,4,4,5,26
51,4,4,5,4,4,5,26
52,4,4,5,4,4,5,26
53,4,4,5,4,4,5,26
54,4,4,5,4,4,5,26
55,4,4,5,4,4,5,26
56,4,4,5,4,4,5,26
57,4,4,5,4,4,5,26
58,4,4,5,4,4,5,26
59,4,4,5,4,4,5,26
60,4,4,5,4,4,5,26
61,4,4,5,4,4,5,26
62,4,4,5,4,4,4,25
63,4,4,5,4,4,4,25
64,4,4,5,4,4,4,25
65,4,4,5,4,4,4,25
66,4,4,5,4,4,4,25
67,4,4,5,4,4,4,25
68,4,4,5,4,4,4,25
69,4,4,5,4,4,4,25
70,4,4,5,5,4,4,26
71,4,4,5,5,4,4,26
72,4,4,5,5,4,4,26
73,4,4,5,5,4,4,26
74,4,4,5,5,4,4,26
75,4,4,6,5,4,4,27
76,4,4,6,5,4,4,27
77,4,4,6,5,4,4,27
78,4,4,6,5,4,4,27
79,4,4,6,5,4,4,27
80,4,4,6,5,4,4,27
81,4,4,6,5,4,4,27
82,4,4,6,5,4,4,27
83,4,4,6,5,4,4,27
84,4,4,6,5,4,4,27
85,4,4,6,5,4,4,27
86,4,4,6,5,4,4,27
87,4,4,6,5,4,4,27
88,4,4,6,5,4,4,27
89,4,4,6,5,4,4,27
90,4,4,6,5,4,4,27
91,4,4,6,5,4,4,27
92,4,4,6,5,4,4,27
93,4,4,6,5,4,4,27
94,4,4,6,5,4,4,27
95,4,4,6,5,4,4,27
96,5,4,6,5,4,5,29
97,5,4,6,5,4,5,29
98,5,4,6,5,4,5,29
99,5,4,6,5,4,5,29
100,5,4,6,5,4,5,29
101,5,4,6,5,4,5,29
102,5,4,6,5,4,5,29
103,5,4,6,5,4,5,29
104,5,4,6,5,4,5,29
105,5,4,6,5,4,5,29
106,5,4,6,5,4,5,29
107,5,4,6,5,4,5,29
108,5,4,6,5,4,5,29
109,5,4,6,5,4,5,29
110,5,4,6,5,4,5,29
111,5,4,6,5,4,5,29
112,5,4,6,5,4,5,29
113,5,4,6,5,4,5,29
114,5,4,6,5,4,5,29
115,5,4,6,5,4,5,29
116,5,4,6,5,5,5,30
117,5,4,6,5,5,5,30
118,5,4,6,5,5,5,30
119,5,4,6,5,5,5,30
120,5,4,6,5,5,5,30
121,5,4,6,5,5,5,30
122,5,4,6,5,5,5,30
123,5,4,6,5,5,5,30
124,5,4,6,5,5,5,30
125,5,4,6,5,5,5,30
126,5,5,6,5,5,5,31
127,5,5,6,5,5,5,31
128,5,5,6,5,5,5,31
129,5,5,6,5,5,5,31
130,5,5,6,5,5,5,31
131,5,5,6,5,5,5,31
132,5,5,7,5,5,5,32
133,5,5,7,5,5,5,32
134,5,5,7,5,5,5,32
135,5,5,7,5,5,5,32
136,5,5,7,5,5,5,32
137,5,5,8,5,5,5,33
138,5,5,8,5,5,5,33
139,5,5,8,5,5,5,33
140,5,5,8,5,5,5,33
141,5,5,8,5,5,5,33
142,5,5,8,5,5,5,33
143,5,5,8,5,5,5,33
144,5,5,8,5,5,5,33
145,6,5,8,5,5,5,34
146,6,5,8,5,5,5,34
147,6,5,8,5,5,5,34
148,6,5,8,5,5,5,34
149,6,6,8,5,5,5,35
150,6,6,8,5,5,5,35
151,6,6,8,5,5,5,35
152,6,6,8,5,5,5,35
153,6,6,8,5,5,5,35
154,6,6,8,6,5,5,36
155,6,6,8,6,5,5,36
156,6,6,8,6,5,6,37
157,6,6,8,6,5,6,37
158,6,6,8,6,5,6,37
159,6,6,8,6,5,6,37
160,6,6,8,6,5,6,37
161,6,6,8,6,5,6,37
162,6,6,8,7,5,6,38
163,6,6,8,7,5,6,38
164,6,6,8,7,5,6,38
165,6,6,8,7,5,6,38
166,6,6,8,7,5,6,38
167,6,6,8,7,5,6,38
168,6,6,8,7,5,6,38
169,6,6,8,7,5,6,38
170,6,6,8,7,5,6,38
171,6,6,8,7,5,6,38
172,6,6,8,7,5,6,38
173,6,6,8,7,5,6,38
174,6,6,8,7,5,6,38
175,6,7,8,7,5,6,39
176,6,7,8,7,5,6,39
177,6,8,8,7,5,6,40
178,6,8,8,7,5,6,40
179,6,8,8,7,5,6,40
180,6,8,8,8,5,6,41
181,6,8,8,8,5,6,41
182,6,8,8,8,5,6,41
183,6,8,8,8,5,6,41
184,6,8,8,8,5,6,41
185,6,8,8,8,5,6,41
186,6,8,8,8,5,6,41
187,6,8,8,8,5,6,41
188,6,8,8,8,5,6,41
189,6,8,8,8,5,6,41
190,6,8,8,8,5,6,41
191,6,8,7,8,5,6,40
192,6,8,7,8,5,6,40
193,6,8,7,8,5,6,40
194,6,8,7,8,5,6,40
195,6,8,7,8,5,6,40
196,6,8,7,8,5,6,40
197,6,8,7,8,6,6,41
198,6,8,7,8,6,6,41
199,6,8,7,8,6,6,41
200,6,8,7,8,6,6,41
201,6,8,7,8,6,6,41
202,6,8,7,8,6,6,41
203,6,8,7,8,6,6,41
204,6,8,7,8,6,6,41
205,6,8,7,8,6,6,41
206,6,8,7,8,6,6,41
207,6,8,7,8,6,6,41
208,6,8,7,8,6,6,41
209,6,8,7,8,6,6,41
210,6,8,7,8,6,6,41
211,6,8,7,8,6,6,41
212,6,8,7,8,6,6,41
213,6,8,7,8,6,6,41
214,6,8,7,8,6,6,41
215,6,8,7,8,6,6,41
216,6,8,7,8,6,6,41
217,6,8,7,8,6,6,41
218,6,8,7,8,6,6,41
219,6,8,7,8,6,6,41
220,6,8,7,8,6,6,41
221,6,8,7,8,6,6,41
222,6,8,7,8,6,6,41
223,6,8,7,8,6,6,41
224,6,8,7,8,6,6,41
225,6,8,7,8,6,6,41
226,6,8,7,8,6,6,41
227,6,8,7,8,6,6,41
228,6,8,7,8,6,6,41
229,6,8,7,8,6,6,41
230,6,8,7,8,6,6,41
231,6,8,7,8,6,6,41
232,6,8,7,8,6,6,41
233,6,8,7,8,6,6,41
234,6,8,7,8,6,6,41
235,6,8,7,8,6,6,41
236,6,8,7,8,6,6,41
237,6,8,7,8,6,6,41
238,6,8,7,8,7,6,42
239,6,8,7,8,7,6,42
240,6,8,7,8,7,6,42
241,6,8,7,8,7,6,42
242,6,8,7,8,7,6,42
243,6,8,7,8,7,6,42
244,6,8,7,8,7,6,42
245,6,8,7,8,7,6,42
246,6,8,7,8,7,6,42
247,6,8,7,8,7,6,42
248,6,8,7,8,7,6,42
249,6,8,7,8,7,6,42
250,6,8,7,8,8,6,43
251,6,8,7,8,8,6,43
252,5,8,7,8,8,6,42
253,5,8,7,8,8,6,42
