Predation Risk,Foraging Success,Threshold,Discriminatory,Modifier,Purple,Blue,Orange,Red,Pop Bust,purple pop max,blue pop max,orange pop max,red pop max,Diversifying,Focusing,Equitable,Inequitable,Total
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,15,10,14,19,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,10,9,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,120,TRUE,8,8,9,159,0,120,0,120,120
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,12,12,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,136,TRUE,17,11,11,157,0,136,0,136,136
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,10,34,24,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,13,17,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,14,10,11,20,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,128,TRUE,14,10,12,159,0,128,0,128,128
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,11,14,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,16,14,17,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,135,0,TRUE,13,8,155,38,0,135,135,0,135
0.00017,0.87,1,33,-1,0,0,0,0,TRUE,11,130,95,77,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,10,17,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,14,9,12,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,TRUE,110,8,55,108,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,9,12,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,16,20,9,9,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,12,9,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,24,12,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,11,12,19,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,12,13,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,19,10,14,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,7,10,10,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,14,18,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,TRUE,126,12,11,139,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,8,11,27,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,11,36,7,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,13,9,10,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,11,14,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,9,23,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,8,16,29,17,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,13,10,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,10,13,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,10,9,20,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,12,17,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,90,47,TRUE,18,12,130,95,0,137,90,47,137
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,10,10,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,10,12,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,11,11,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,11,10,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,15,10,23,24,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,11,9,10,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,8,9,14,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,13,15,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,9,41,10,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,17,10,10,15,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,11,10,70,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,10,29,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,13,10,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,9,14,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,16,9,15,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,9,7,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,14,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,10,10,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,10,10,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,10,15,25,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,40,11,14,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,131,0,TRUE,9,12,154,35,0,131,131,0,131
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,11,16,15,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,26,15,9,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,9,9,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,15,11,11,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,10,11,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,12,23,23,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,12,10,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,12,11,18,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,11,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,20,11,9,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,10,12,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,TRUE,127,12,61,79,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,9,16,17,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,9,11,12,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,143,TRUE,16,16,10,160,0,143,0,143,143
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,13,9,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,19,11,14,24,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,12,21,17,14,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,19,8,12,36,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,128,0,TRUE,9,10,161,44,0,128,128,0,128
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,10,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,12,14,10,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,26,10,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,9,12,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,21,14,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,14,12,16,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,137,0,TRUE,12,11,157,14,0,137,137,0,137
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,9,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,TRUE,142,14,85,52,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,9,12,13,10,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,15,27,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,12,11,15,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,7,10,17,23,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,12,28,11,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,16,13,14,20,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,11,10,30,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,7,30,9,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,9,15,47,0,0,0,0,0
0.00017,0.87,1,33,-1,83,0,0,40,TRUE,122,17,83,137,83,40,83,40,123
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,10,10,12,13,0,0,0,0,0
0.00017,0.87,1,33,-1,0,0,0,0,FALSE,11,12,9,32,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,21,33,11,12,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,TRUE,21,140,13,24,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,16,119,13,16,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,25,31,14,12,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,15,91,12,17,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,30,21,15,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,28,21,18,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,38,12,10,37,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,14,65,10,24,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,23,78,23,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,23,95,12,23,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,11,91,26,16,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,10,89,22,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,23,62,14,17,0,0,0,0,0
0.00017,0.87,1,33,0,0,57,0,0,FALSE,14,99,30,15,57,0,0,57,57
0.00017,0.87,1,33,0,0,0,0,0,FALSE,19,65,22,16,0,0,0,0,0
0.00017,0.87,1,33,0,0,67,0,0,FALSE,14,112,25,17,67,0,0,67,67
0.00017,0.87,1,33,0,0,0,0,0,FALSE,27,31,18,20,0,0,0,0,0
0.00017,0.87,1,33,0,0,49,0,0,FALSE,27,97,14,18,49,0,0,49,49
0.00017,0.87,1,33,0,0,65,0,0,FALSE,22,96,12,28,65,0,0,65,65
