SocialInheritance1,SocialInheritance2,GroupSize,Foraging,Predation,Threshold,Discriminatory,Modifier,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,63,0,15,0,0,FALSE,63,15,0,0,78,78,11.23076923
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,43,0,TRUE,0,0,43,43,0,43,4
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,85,TRUE,0,0,85,0,85,85,4
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,58,0,FALSE,0,0,58,58,0,58,4
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
FALSE,FALSE,6,0.93,0.0003,0,30,-1,0,0,0,0,59,5,FALSE,0,0,64,59,5,64,4
