SocialInheritance1,SocialInheritance2,GroupSize,Foraging,Predation,Threshold,Discriminatory,Prob,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Rate,Stability,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average,Test
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,0,0,14,0,92,TRUE,0.006870014,0.987554551,0,14,92,0,106,106,4.528301887,5.867924528
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,0,0,0,80,0,FALSE,0.010127555,0.984006456,0,0,80,80,0,80,4,3
FALSE,FALSE,6,0.93,0.0003,0,30,0.0001,0,0,0,0,0,0,FALSE,0.010331089,0.956559923,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0001,0,0,0,0,11,0,FALSE,0.007070116,0.982111677,0,0,11,11,0,11,4,3
FALSE,FALSE,6,0.93,0.0003,0,30,0.0002,0,0,0,0,0,0,FALSE,0.002769319,0.89818013,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0002,0,0,0,0,0,0,FALSE,0.025023621,0.965484172,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0003,0,0,0,50,0,0,FALSE,0.010786969,0.98134159,0,50,0,0,50,50,8,5
FALSE,FALSE,6,0.93,0.0003,0,30,0.0003,0,0,0,0,0,0,FALSE,0.001771984,0.830180811,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0004,0,0,0,0,0,0,FALSE,0.009942023,0.964927311,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0004,0,44,0,0,0,0,FALSE,0.014463302,0.983053651,44,0,0,0,44,44,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,0.0005,0,0,0,0,0,0,FALSE,0.012475483,0.970031237,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0005,0,0,0,0,0,0,FALSE,0.00123782,0.942038619,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0006,0,0,0,0,0,0,FALSE,0.006728083,0.967720015,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0006,0,0,0,0,0,0,FALSE,0.026752133,0.938456782,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0007,0,0,0,0,0,0,FALSE,0.003717462,0.942212568,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0007,0,0,0,0,0,0,FALSE,0.010890181,0.970075847,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0008,0,0,0,0,0,0,FALSE,0.002156993,0.897740567,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0008,0,0,0,39,0,0,FALSE,0.014801535,0.982462593,0,39,0,0,39,39,8,5
FALSE,FALSE,6,0.93,0.0003,0,30,0.0009,0,0,0,0,0,0,FALSE,0.003205629,0.942147953,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0009,0,0,0,0,0,0,FALSE,0.001063756,0.922247446,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.001,0,0,0,0,0,0,FALSE,0.004519357,0.976153774,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.001,0,0,0,0,0,0,FALSE,0.000849,0.91364836,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0011,0,0,0,0,0,0,FALSE,0.003605244,0.956764322,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0011,0,0,0,0,0,0,FALSE,0.005140963,0.967653294,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0012,0,0,0,0,0,0,FALSE,0.004430579,0.925788811,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0012,0,0,0,0,0,0,FALSE,0.009557613,0.92930054,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0013,0,0,0,0,0,0,FALSE,0.014352894,0.964145097,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0013,0,0,0,0,0,0,FALSE,0.031476897,0.917843918,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0014,0,0,0,0,0,0,FALSE,0.018211677,0.952814687,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0014,0,0,0,0,0,0,FALSE,0.042842656,0.955149361,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0015,0,0,0,0,0,0,FALSE,0.02997125,0.937414045,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0015,0,0,0,0,0,0,FALSE,0.004499859,0.901769161,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0016,0,0,0,0,0,0,FALSE,0.001453948,0.905471403,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0016,0,0,0,0,0,0,FALSE,0.018398046,0.976018178,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0017,0,0,0,0,0,0,FALSE,0.00219918,0.939096601,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0017,0,0,0,0,0,0,FALSE,0.015674127,0.969656244,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0018,0,0,0,0,0,0,FALSE,0.012474534,0.947698106,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0018,0,0,0,0,0,0,FALSE,0.016494368,0.90783657,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0019,0,0,0,0,0,0,FALSE,0.024843569,0.952292934,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0019,0,0,0,0,0,0,FALSE,0.045526151,0.928398659,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.002,0,0,0,0,0,0,FALSE,0.060348612,0.940925321,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.002,0,0,0,56,0,0,FALSE,0.019456623,0.975671352,0,56,0,0,56,56,8,5
FALSE,FALSE,6,0.93,0.0003,0,30,0.0021,0,0,0,0,0,0,FALSE,0.0102446,0.939618063,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0021,0,0,0,0,0,0,FALSE,0.038181058,0.944150818,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0022,0,0,0,37,0,0,FALSE,0.022984295,0.978280551,0,37,0,0,37,37,8,5
FALSE,FALSE,6,0.93,0.0003,0,30,0.0022,0,0,0,0,0,0,FALSE,0.002857488,0.901684762,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0023,0,0,0,0,0,0,FALSE,0.027776775,0.958882844,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0023,0,0,24,0,0,0,FALSE,0.031896332,0.96281434,0,24,0,24,0,24,8,2
FALSE,FALSE,6,0.93,0.0003,0,30,0.0024,0,0,0,0,0,0,FALSE,0.022447021,0.961472916,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0024,0,0,0,0,0,0,FALSE,0.020760229,0.946505514,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0025,0,0,0,0,0,0,FALSE,0.032742836,0.958352849,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0025,0,0,0,0,0,0,FALSE,0.017153168,0.955754559,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0026,0,0,0,0,0,0,FALSE,0.034346984,0.936864865,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0026,0,0,0,0,0,0,FALSE,0.004701462,0.939960689,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0027,0,0,0,0,0,0,FALSE,0.032799517,0.964645179,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0027,0,0,0,0,0,0,FALSE,0.004522807,0.94174753,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0028,0,0,0,0,0,0,FALSE,0.038397582,0.95163022,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0028,0,0,0,0,0,0,FALSE,0.038840576,0.897332312,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0029,0,0,0,0,0,0,FALSE,0.027080896,0.960290503,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0029,0,0,0,0,0,0,FALSE,0.005739323,0.940779035,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.003,0,0,0,0,0,0,FALSE,0.026960747,0.91034324,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.003,0,0,0,0,0,0,FALSE,0.006023209,0.904959007,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0031,0,0,0,0,0,0,FALSE,0.029688995,0.951890156,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0031,0,0,0,0,0,0,FALSE,0.024449895,0.951628089,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0032,0,0,0,0,0,0,FALSE,0.051407533,0.928134985,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0032,0,0,0,0,0,0,FALSE,0.013098809,0.926099695,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0033,0,0,0,0,0,0,FALSE,0.031045874,0.946891532,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0033,0,0,0,0,0,0,FALSE,0.016667801,0.935052076,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0034,0,0,0,0,0,0,FALSE,0.005066251,0.913098651,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0034,0,0,0,0,0,0,FALSE,0.016417696,0.964709176,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0035,0,0,0,0,0,0,FALSE,0.023021955,0.952567321,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0035,0,0,0,0,0,0,FALSE,0.026347648,0.922571761,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0036,0,0,0,0,0,0,FALSE,0.006738076,0.948820854,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0036,0,0,0,0,0,0,FALSE,0.052365968,0.930469394,0,0,0,0,0,0,NA,NA
